,partei,phase,zh-japroz,be-japroz,lu-japroz,ur-japroz,sz-japroz,ow-japroz,nw-japroz,gl-japroz,zg-japroz,fr-japroz,so-japroz,bs-japroz,bl-japroz,sh-japroz,ar-japroz,ai-japroz,sg-japroz,gr-japroz,ag-japroz,tg-japroz,ti-japroz,vd-japroz,vs-japroz,ne-japroz,ge-japroz,ju-japroz
0,br-pos_label,phase1_fruehphase,10.130384615384616,0.44576923076923064,-11.378846153846155,-30.849615384615387,-19.646538461538462,-27.34730769230769,-22.90576923076923,6.6800000000000015,-11.493846153846153,-26.963461538461537,1.5938461538461537,16.31,5.958846153846154,7.211153846153845,4.480384615384616,-30.970384615384617,-9.197692307692307,-12.23,0.7096153846153844,9.297692307692305,-13.421923076923077,-6.349615384615384,-31.054230769230767,7.147307692307692,-2.376153846153847,
1,br-pos_label,phase2_volatile,7.302131147540983,7.191311475409837,9.51377049180328,5.555737704918033,2.5318032786885243,5.24327868852459,6.509672131147541,6.359344262295083,5.694754098360655,7.726065573770493,8.12672131147541,2.982786885245902,4.4424590163934425,9.754590163934425,6.760491803278688,5.579016393442623,5.812622950819672,11.344426229508196,7.8500000000000005,11.538032786885246,9.745737704918033,7.9416393442622955,5.91344262295082,4.100983606557377,6.474590163934426,
2,br-pos_label,phase3_konsens,6.1888,11.0,11.795399999999999,13.944600000000001,10.8058,16.3628,13.646400000000002,14.4032,10.6708,17.785,11.052999999999999,5.3874,7.3238,6.8452,9.505,18.6256,11.466199999999999,17.840400000000002,8.3964,12.8914,14.287,12.4752,14.604800000000001,9.8706,10.6024,
3,br-pos_label,phase4_aufspaltung,13.050257352941177,12.072610294117647,12.566029411764706,9.678125,8.920882352941177,11.85875,13.227757352941175,10.977977941176471,13.933198529411765,11.808933823529413,10.518492647058823,11.832205882352941,12.568529411764706,10.043014705882353,11.790992647058824,12.684448529411766,12.476139705882353,12.671213235294118,11.594044117647059,12.082536764705882,9.006911764705883,12.299485294117646,9.781617647058823,10.460919117647059,11.185698529411766,7.5013749999999995
4,br-pos_label,phase5_2010_heute,10.16274336283186,9.168141592920353,11.76433628318584,9.556814159292037,9.607256637168142,11.369115044247788,12.45867256637168,8.473185840707965,13.161946902654867,9.917964601769912,8.821946902654867,8.24849557522124,8.893362831858408,6.404778761061947,8.605575221238938,10.785840707964601,9.277079646017699,11.277345132743363,9.753893805309735,9.082654867256636,6.60858407079646,11.45495575221239,10.768407079646018,9.19504424778761,7.655398230088495,6.731769911504424
5,bv-pos_label,phase1_fruehphase,18.567037037037036,2.5296296296296297,-8.902592592592592,-23.712777777777777,-14.017777777777779,-12.897037037037036,-18.12203703703704,7.028148148148148,-6.766851851851851,-17.362407407407407,8.981666666666667,16.09222222222222,8.418333333333335,10.668703703703704,1.8133333333333337,-27.808333333333334,-5.464074074074074,-12.113703703703704,2.8014814814814817,14.756851851851852,-0.8557407407407406,-4.612222222222222,-21.203703703703702,11.87425925925926,3.162777777777777,
6,bv-pos_label,phase2_volatile,10.44215909090909,9.608863636363637,12.58340909090909,6.61965909090909,4.03659090909091,7.5673863636363645,8.40284090909091,8.702613636363637,7.73875,10.216477272727273,9.947045454545455,9.524886363636364,6.743181818181818,12.771931818181816,7.5921590909090915,4.4069318181818184,7.766818181818182,12.848977272727273,7.676477272727272,11.919431818181819,14.807840909090908,11.34306818181818,9.615113636363636,8.245113636363637,12.552954545454543,
7,bv-pos_label,phase3_konsens,11.086407766990293,13.26252427184466,13.11388349514563,13.458932038834952,7.93,13.345145631067961,12.52019417475728,13.201747572815533,12.750970873786407,16.301553398058253,12.61271844660194,11.729126213592233,11.055922330097088,10.576504854368933,7.780388349514563,15.949611650485437,11.631941747572816,15.824563106796116,8.904271844660196,12.279805825242718,16.59631067961165,14.169223300970874,12.894271844660196,11.645922330097088,14.336116504854369,
8,bv-pos_label,phase4_aufspaltung,13.027455197132616,11.932903225806452,12.243620071684587,9.368387096774194,8.546236559139786,11.39405017921147,12.790824372759856,10.867491039426524,13.689498207885304,11.534767025089605,10.358243727598566,11.970609318996416,12.547168458781362,9.93820788530466,11.405698924731183,12.158781362007167,12.185448028673836,12.42537634408602,11.371541218637992,11.827347670250896,9.06372759856631,12.252724014336916,9.40537634408602,10.497491039426524,11.38594982078853,7.388347107438016
9,bv-pos_label,phase5_2010_heute,10.484770642201834,9.383577981651376,12.114036697247707,9.805871559633026,9.966972477064221,11.657064220183488,12.80376146788991,8.758073394495414,13.55440366972477,10.400917431192662,9.179724770642203,8.399908256880734,9.433302752293578,6.852935779816513,8.877706422018349,11.071559633027523,9.623394495412844,11.732660550458716,10.163761467889907,9.437247706422019,7.388532110091743,12.097981651376147,11.358440366972477,9.701009174311928,8.311834862385322,7.198256880733944
